TransactionID,CustomerID,Date,Amount,TransactionType,Location,AccountType
1001,C007,2025-01-18,12793,Withdrawal,Cape Town,Cheque
1002,C020,2025-01-12,7679,Deposit,Pretoria,Cheque
1003,C029,2025-01-14,12040,Deposit,Durban,Cheque
1004,C015,2025-01-18,9517,Deposit,Johannesburg,Cheque
1005,C011,2025-01-04,1066,Withdrawal,Durban,Business
1006,C008,2025-01-17,7919,Withdrawal,,Savings
1007,C029,2025-01-04,6489,Withdrawal,Pretoria,Savings
1008,C021,2025-01-08,7942,Withdrawal,Pretoria,Savings
1009,C007,2025-01-02,6913,Deposit,Cape Town,Savings
1010,C026,2025-01-28,7966,Withdrawal,Cape Town,Cheque
1011,C019,2025-01-11,8579,Deposit,Durban,Savings
1012,C023,2025-01-04,928,Deposit,Durban,Business
1013,C011,2025-01-21,9318,Withdrawal,Johannesburg,Business
1014,C011,2025-01-31,4937,Withdrawal,Johannesburg,Savings
1015,C024,2025-01-31,35781,Withdrawal,,Savings
1016,C021,2025-01-29,14602,Withdrawal,Cape Town,Business
1017,C004,2025-01-10,4909,Withdrawal,Pretoria,Business
1018,C008,2025-01-13,6381,Withdrawal,Durban,Cheque
1019,C024,2025-01-12,8621,Withdrawal,Johannesburg,Business
1020,C003,2025-01-09,8734,Withdrawal,Cape Town,Cheque
1021,C022,2025-01-08,7258,Deposit,Durban,Cheque
1022,C021,2025-01-09,5326,Withdrawal,Durban,Cheque
1023,C002,2025-01-30,2112,Withdrawal,Cape Town,Cheque
1024,C024,2025-01-29,12126,Deposit,Durban,Cheque
1025,C012,2025-01-20,114,Withdrawal,Cape Town,Savings
1026,C006,2025-01-04,8056,Deposit,Pretoria,Business
1027,C002,2025-01-29,2618,Deposit,Cape Town,Cheque
1028,C028,2025-01-05,5513,Withdrawal,Cape Town,Business
1029,C021,2025-01-25,13490,Deposit,Cape Town,Business
1030,C001,2025-01-22,2077,Deposit,Durban,Cheque
1031,C012,2025-01-15,2745,Deposit,,Savings
1032,C026,2025-01-31,9737,Deposit,Cape Town,Cheque
1033,C022,2025-01-11,5308,Withdrawal,Durban,Savings
1034,C029,2025-01-27,5668,Deposit,Johannesburg,Business
1035,C012,2025-01-05,,Withdrawal,Johannesburg,Savings
1036,C025,2025-01-27,,Deposit,Durban,Savings
1037,C017,2025-01-24,-3704,Deposit,Durban,Savings
1038,C027,2025-01-09,12756,Deposit,Cape Town,Business
1039,C027,2025-01-22,33051,Deposit,Pretoria,Business
1040,C010,2025-01-10,12716,Withdrawal,Durban,Savings
1041,C028,2025-01-19,5942,Withdrawal,Johannesburg,Savings
1042,C028,2025-01-13,3611,Deposit,Cape Town,Cheque
1043,C016,2025-01-31,10520,Deposit,Durban,Savings
1044,C015,2025-01-25,6234,Withdrawal,Johannesburg,Cheque
1045,C015,2025-01-24,-3024,Deposit,Johannesburg,Savings
1046,C019,2025-01-11,6328,Deposit,Pretoria,Cheque
1047,C012,2025-01-10,8442,Deposit,Cape Town,Business
1048,C023,2025-01-27,14201,Withdrawal,Cape Town,Savings
1049,C020,2025-01-04,13117,Withdrawal,Pretoria,Savings
1050,C025,2025-01-19,3154,Withdrawal,Pretoria,Savings
1051,C003,2025-01-17,7265,Deposit,Cape Town,Savings
1052,C005,2025-01-06,12840,Deposit,Cape Town,Cheque
1053,C019,2025-01-29,2504,Withdrawal,Durban,Savings
1054,C007,2025-01-24,11887,Withdrawal,Durban,Business
1055,C021,2025-01-09,14089,Withdrawal,Pretoria,Business
1056,C009,2025-01-07,9046,Withdrawal,Durban,Savings
1057,C007,2025-01-06,14484,Deposit,Johannesburg,Business
1058,C018,2025-01-10,2781,Withdrawal,Durban,Savings
1059,C004,2025-01-07,14233,Deposit,Durban,Savings
1060,C025,2025-01-21,11015,Withdrawal,Johannesburg,Business
1061,C028,2025-01-14,8204,Deposit,Pretoria,Savings
1062,C014,2025-01-17,9812,Withdrawal,Johannesburg,Business
1063,C018,2025-01-03,5106,Withdrawal,Durban,Cheque
1064,C026,2025-01-19,14998,Withdrawal,Pretoria,Savings
1065,C009,2025-01-31,8160,Withdrawal,Durban,Cheque
1066,C026,2025-01-08,13823,Deposit,Johannesburg,Business
1067,C021,2025-01-23,26949,Withdrawal,Johannesburg,Cheque
1068,C002,2025-01-18,3890,Deposit,Durban,Cheque
1069,C020,2025-01-13,1078,Deposit,Cape Town,Business
1070,C028,2025-01-19,7435,Deposit,Cape Town,Cheque
1071,C015,2025-01-16,552,Deposit,Johannesburg,Cheque
1072,C028,2025-01-31,6960,Withdrawal,Johannesburg,Business
1073,C007,2025-01-05,12735,Deposit,Cape Town,Cheque
1074,C012,2025-01-09,,Deposit,Cape Town,Business
1075,C029,2025-01-14,6988,Deposit,Durban,Cheque
1076,C008,2025-01-10,4538,Withdrawal,Durban,Business
1077,C015,2025-01-10,256,Withdrawal,,Business
1078,C003,2025-01-04,5184,Withdrawal,,Cheque
1079,C014,2025-01-06,6027,Withdrawal,Durban,Cheque
1080,C017,2025-01-31,7771,Deposit,Pretoria,Cheque
1081,C004,2025-01-16,,Deposit,Durban,Savings
1082,C018,2025-01-05,29521,Withdrawal,Johannesburg,Savings
1083,C008,2025-01-29,7908,Deposit,Durban,Savings
1084,C004,2025-01-13,913,Deposit,Durban,Business
1085,C002,2025-01-14,2840,Deposit,Cape Town,Cheque
1086,C006,2025-01-28,7458,Withdrawal,Johannesburg,Business
1087,C022,2025-01-09,26881,Withdrawal,Durban,Savings
1088,C010,2025-01-03,5166,Deposit,Durban,Cheque
1089,C004,2025-01-24,-4875,Withdrawal,Pretoria,Business
1090,C022,2025-01-17,6069,Withdrawal,Durban,Cheque
1091,C029,2025-01-20,1807,Withdrawal,Durban,Business
1092,C018,2025-01-22,14870,Withdrawal,Pretoria,Cheque
1093,C026,2025-01-21,7624,Withdrawal,Cape Town,Savings
1094,C012,2025-01-08,6424,Deposit,Durban,Savings
1095,C002,2025-01-12,6942,Withdrawal,Pretoria,Cheque
1096,C010,2025-01-16,1728,Deposit,Johannesburg,Business
1097,C004,2025-01-13,3292,Deposit,Cape Town,Savings
1098,C014,2025-01-23,,Withdrawal,Johannesburg,Savings
1099,C016,2025-01-08,1109,Deposit,Johannesburg,Savings
1100,C015,2025-01-14,6718,Deposit,Pretoria,Cheque
1051,C003,2025-01-17,7265,Deposit,Cape Town,Savings
1097,C004,2025-01-13,3292,Deposit,Cape Town,Savings
1002,C020,2025-01-12,7679,Deposit,Pretoria,Cheque
1024,C024,2025-01-29,12126,Deposit,Durban,Cheque
1032,C026,2025-01-31,9737,Deposit,Cape Town,Cheque
